OBJECTID,Type,Mgt_Area,Comments,Shape_Leng
91,Double Track,Burlingame Management Area,None,1020.12278322
92,Double Track,Burlingame Management Area,Private,1521.05988784
93,Double Track,Burlingame Management Area,None,531.386904352
94,Double Track,Burlingame Management Area,NORTH SOUTH TRAIL,2740.0180342
95,Double Track,Burlingame Management Area,None,2821.95863557
96,Double Track,Burlingame Management Area,None,1520.4795408
97,Single Track,Burlingame Management Area,None,719.336575026
98,Double Track,Burlingame Management Area,None,1729.70242981
99,Gravel Road,Carolina Management Area,None,3797.80573409
100,Single Track,Arcadia Management Area,"Pachaug Trail, yellow blaze, fair",6618.97944962
101,Gravel Road,Arcadia Management Area,None,3853.80568554
102,Gravel Road,Arcadia Management Area,None,1194.58248738
103,Single Track,Arcadia Management Area,"Beach Pond Bypass, fair",789.636061448
104,Single Track,Arcadia Management Area,"Beach Pond Bypass, fair",3672.87577181
105,Gravel Road,Arcadia Management Area,"Beach Pond Bypass, fair",304.665061201
106,Gravel Road,Arcadia Management Area,None,1241.92813833
107,Single Track,Arcadia Management Area,None,1329.10792795
108,Gravel Road,Arcadia Management Area,None,3248.01081
109,Double Track,Arcadia Management Area,None,3873.2008462
110,Gravel Road,Arcadia Management Area,None,3024.39921582
111,Single Track,Arcadia Management Area,None,1152.18115958
112,Single Track,Arcadia Management Area,None,3905.77878213
113,Single Track,Arcadia Management Area,None,2528.07804586
114,Single Track,Arcadia Management Area,None,1055.48131325
115,Gravel Road,Arcadia Management Area,None,8359.95622198
116,Double Track,Arcadia Management Area,None,2648.44189603
117,Single Track,Arcadia Management Area,None,1059.43881841
118,Gravel Road,Arcadia Management Area,None,2147.60012989
119,Single Track,Arcadia Management Area,NO NAME,1443.11296781
120,Single Track,Arcadia Management Area,NO NAME,3474.9306798
121,Single Track,Arcadia Management Area,Fair,1525.67462341
122,Double Track,Arcadia Management Area,None,4226.80682506
123,Single Track,Arcadia Management Area,Fair,5580.13978324
124,Single Track,Arcadia Management Area,QUESTIONABLE TRAIL,1575.62071431
125,Single Track,Arcadia Management Area,NO NAME,4571.9127567
126,Gravel Road,Arcadia Management Area,NO NAME,455.746528033
127,Double Track,Decoppett,Owner = Fish & Wildlife,1198.82508638
128,Double Track,Decoppett,Owner = Fish & Wildlife,2311.79833412
129,Double Track,Decoppett,Owner = Fish & Wildlife,3643.03219886
130,Double Track,Decoppett,Owner = Fish & Wildlife,4540.80248921
131,Single Track,Arcadia Management Area,None,308.938151886
132,Single Track,Arcadia Management Area,NORTH SOUTH TRAIL,1458.87340038
133,Gravel Road,Arcadia Management Area,None,1454.42258824
134,Single Track,Arcadia Management Area,None,1444.6357618
135,Single Track,George Washington Management Area,None,4198.08055818
136,Single Track,George Washington Management Area,None,14751.2502824
137,Single Track,George Washington Management Area,None,2451.9676692
138,Single Track,George Washington Management Area,None,688.849591702
139,Double Track,Round Top Management Area,None,4494.62118941
140,Double Track,Round Top Management Area,None,1524.20880955
141,Double Track,Round Top Management Area,None,1764.0623693
142,Single Track,Durfee Hill Management Area,None,8381.68403859
143,Double Track,Decoppett,Owner = Fish & Wildlife,1463.71219555
144,Double Track,Decoppett,Owner = Fish & Wildlife,5120.83098309
145,Double Track,Decoppett,Owner = Fish & Wildlife,4161.30748191
146,Double Track,Decoppett,Owner = Fish & Wildlife,1883.65485092
147,Double Track,Decoppett,Owner = Fish & Wildlife,3615.96858316
148,Double Track,Decoppett,Owner = Fish & Wildlife,1925.6875715
149,Double Track,Decoppett,Owner = Fish & Wildlife,2607.32700375
150,Double Track,Decoppett,Owner = Fish & Wildlife,3318.55185449
151,Double Track,Decoppett,Owner = Fish & Wildlife,3060.15537053
152,Double Track,Decoppett,Owner = Fish & Wildlife,731.314907233
153,Single Track,Arcadia Management Area,NORTH SOUTH TRAIL,1785.4659605
154,Single Track,Arcadia Management Area,Arcadia Trail,2893.00746822
155,Double Track,Arcadia Management Area,None,1981.89657604
156,Single Track,Arcadia Management Area,"North South Trail, blue blaze",1293.09145702
157,Gravel Road,Arcadia Management Area,NO NAME,5119.60754692
158,Gravel Road,Killingly Pond Management Area,None,6311.41980135
159,Gravel Road,Killingly Pond Management Area,None,5285.19513561
160,Single Track,Arcadia Management Area,None,94.0825557359
161,Double Track,Arcadia Management Area,"Mt Tom Trail; fair",2468.60413582
162,Gravel Road,Arcadia Management Area,None,314.840002602
163,Gravel Road,Arcadia Management Area,NORTH SOUTH TRAIL,252.568588583
164,Gravel Road,Arcadia Management Area,NORTH SOUTH TRAIL,1795.7277794
